"ROUTEID";"tblsetname";"NAME";"NEXTSCHED";"FREQUENCE";"LASTUPLOAD";"LASTDOWNLOAD";"POINT";"DESCRIPTION";"REF_POINT";"FREQNAME";"FREQTYPE";"POINTNAME"
9519390;"PKF";"1.4  SÉCHOIR PKF";2016-12-26;15;2016-12-02;2016-11-08;"1A HFD AV";"@1A-";24171;"6319(SKF)";"BRG";"VÉLOCITÉ 650 meter"
9519390;"PKF";"1.4  SÉCHOIR PKF";2016-12-26;15;2016-12-02;2016-11-08;"1A ENVELOPPE AV";"@1A-";24173;"6319(SKF)";"BRG";"VÉLOCITÉ 200 meter"
9519390;"PKF";"1.4  SÉCHOIR PKF";2016-12-26;15;2016-12-02;2016-11-08;"1A VELOCITÉ AV";"@1A-";24172;"FABRICANT";"OTHER";"VÉLOCITÉ 200 meter"
9519390;"PKF";"1.4  SÉCHOIR PKF";2016-12-26;15;2016-12-02;2016-11-08;"1A HFD AV";"@1A-";24175;"6319(SKF)";"BRG";"VÉLOCITÉ 300 meter"
9519390;"PKF";"1.4  SÉCHOIR PKF";2016-12-26;15;2016-12-02;2016-11-08;"1A ENVELOPPE AV";"@1A-";24177;"6319(SKF)";"BRG";"VÉLOCITÉ 400 meter"
9519390;"PKF";"1.4  SÉCHOIR PKF";2016-12-26;15;2016-12-02;2016-11-08;"1A VELOCITÉ AV";"@1A-";24176;"FABRICANT";"OTHER";"VÉLOCITÉ 400 meter"
9519390;"PKF";"1.4  SÉCHOIR PKF";2016-12-26;15;2016-12-02;2016-11-08;"1A HFD AV";"@1A-";24179;"6319(SKF)";"BRG";"VÉLOCITÉ 450 meter"
9519390;"PKF";"1.4  SÉCHOIR PKF";2016-12-26;15;2016-12-02;2016-11-08;"1A ENVELOPPE AV";"@1A-";24181;"6319(SKF)";"BRG";"VÉLOCITÉ 500 meter"
9519390;"PKF";"1.4  SÉCHOIR PKF";2016-12-26;15;2016-12-02;2016-11-08;"1A HFD AV";"@1A-";24183;"6319(SKF)";"BRG";"VÉLOCITÉ 550 meter"
9519390;"PKF";"1.4  SÉCHOIR PKF";2016-12-26;15;2016-12-02;2016-11-08;"1A ENVELOPPE AV";"@1A-";24185;"6319(SKF)";"BRG";"VÉLOCITÉ 650 meter"
